Lang,Project,Type,Items,Comments
EN,,IS,Other Income,"mainly represented subsidies historically received for Project amounting to <AMT> in <DATE>, which is being amortised over the respective period to align with the land amortisation period"
CN,,BS,Cash,截至<DATE>，<ENTITY>存款<AMT>。<ENTITY>对账单金额，未发现明显差异。<ENTITY>存款不存在使用受限情况
CN,,BS,AR,<DATE>末应收账款余额包括应收租户租金<AMT>、应收物管费<AMT>以及应收水电费<AMT>。管理层表示上述应收租服费的账龄一般都在半年之内，且目前不存在坏账风险
CN,,BS,Prepayments,系预付的水电费共<AMT>
CN,,BS,OR,系未来可退回的押金及保证金<AMT>
CN,,BS,Other CA,系直线法<ENTITY>管理费<AMT>
CN,,BS,IP,"截至<DATE>末，<ENTITY>账面价值为<AMT>，包括土地成本<AMT>、仓库建造成本和后期改造成本<AMT>。土地使用权相关成本的折旧年限为33年，无残值，仓库建造成本的折旧年限为20年、预计净残值率<PCT>。<ENTITY>已作为公司长期借款的抵押物"
CN,,BS,NCA,主要包括办公家具以及电子设备账面价值<AMT>。公司的固定资产折旧年限为3年，无净残值
CN,,BS,Long-term deferred expenses,主要包括仓库修缮支付的<AMT>费用和租赁佣金<AMT>组成。资本化的仓库修缮支出的摊销期为三年、租赁佣金的摊销期与租赁期一致
CN,,BS,Other NCA,系待抵扣增值税进项税额<AMT>
CN,,BS,AP,截至<DATE>，应付账款余额主要为应付工程尾款共计<AMT>，以及应付<ENTITY>费<AMT>
CN,,BS,Advances,系预收<ENTITY>的租服费<AMT>
CN,,BS,Tax payable,主要系公司应付房产税<AMT>以及土地使用税<AMT>
CN,,BS,OP,截至<DATE>末，其他应付款余额主要包括应付关联方<ENTITY>的往来款<AMT>、租户押金<AMT>、银行借款利息<AMT>以及预提费用<AMT>
CN,,BS,Interest payable,系银行借款尚未结清的利息费用<AMT>
CN,,BS,NCL due within one year,截至<DATE>末，<ENTITY>借款共计<AMT>，借款期为<DATE>至<DATE>。借款利率为基准利率加固定基点。其中<AMT>于一年内到期（已重分类至一年内到期的非流动负债）。该笔借款的抵押物主要包括公司土地使用权及地上建筑物
CN,,BS,Long-term loans,截至<DATE>末，<ENTITY>借款余额主要包括<AMT>长期借款。该笔借款授信额度合计<AMT>，已提款<AMT>，借款期为<DATE>至<DATE>。该笔借款的抵押物主要包括土地使用权
CN,,BS,DTL,系按直线法确认租金及物管费收入形成的递延所得税负债
CN,,BS,Capital,"<ENTITY>的注册资本为<AMT>美元，等值人民币<AMT>。我们了解实收资本系由境外股东出资形成。我们检查了验资报告，未发现差异"
CN,,BS,Deferred income,递延收益为<DATE>收到的政府扶持资金<AMT>，其在相关资产使用期限内（即50年）平均分摊
CN,,IS,OI,"主要包括租户租金收入、物管费收入以及水电费收入。<DATE>租金收入、物管费收入以及水电费占比总收入约为<PCT>，<PCT>和<PCT>。营业收入呈增长趋势，主要驱动来自新租户的陆续入驻和单价的稳步上升"
CN,,IS,OC,"主要包括房屋折旧费用、物业管理费、租赁佣金以及水电费成本等。物业管理费按租金收入和营运收益的固定比例收取。租赁佣金主要系支付给第三方介绍租户的佣金费用"
CN,,IS,Tax and Surcharges,主要系房产税、土地使用税及印花税
CN,,IS,Selling cost,系市场推广费及租赁佣金
CN,,IS,GA,主要包括费用化的土地摊销及支付给第三方的咨询费和审计费
CN,,IS,Fin Exp,银行借款产生的利息支出。尽调期间内随着借款本金的下降，每年的利息费用呈下降趋势
CN,,IS,Non-operating Income,主要系租户提前退租产生的违约金
CN,,IS,Non-operating Exp,主要系印花税滞纳金或资产报废产生的处置损失
CN,,IS,Income tax,尽调期内所得税费用为当期所得税及因直线法调整产生的递延所得税费用
CN,,IS,Cr Loss,尽调期内对应收<ENTITY>的往来款全额计提坏账准备
CN,,IS,Other Income,系收到的政府扶持发展资金每年摊销金额
